Time,Timestamp,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10
0.244,2026-04-09 12:18:26.201811,-3.719837,-8.370947,-18.123795,-19.723644,-26.263073,-18.571182,-17.758667,-23.224237,2.000000,1.000000
0.248,2026-04-09 12:18:26.205811,-7.893440,-6.389739,-16.271658,-14.467812,-25.121964,-18.095840,-15.266447,-22.692852,2.000000,1.000000
0.252,2026-04-09 12:18:26.209811,-17.966949,-8.393628,-13.987206,-13.757271,-21.267664,-16.082928,-12.666995,-21.767162,2.000000,1.000000
0.256,2026-04-09 12:18:26.213811,-27.081625,-11.117375,-11.264198,-13.405713,-17.400982,-10.594808,-11.258243,-20.366404,2.000000,1.000000
0.260,2026-04-09 12:18:26.217811,-26.633825,-11.459569,-9.967593,-11.291608,-13.673335,-4.132004,-12.601598,-17.264200,2.000000,1.000000
0.264,2026-04-09 12:18:26.221811,-19.373409,-10.541928,-8.291797,-6.134185,-12.317409,-0.624927,-12.845406,-14.070086,2.000000,1.000000
0.268,2026-04-09 12:18:26.225811,-11.428538,-8.641655,-3.831363,0.663855,-11.269394,-1.952616,-9.090192,-10.124173,2.000000,1.000000
0.272,2026-04-09 12:18:26.229811,-5.444416,-4.164597,-0.540852,4.945113,-6.803622,-3.903123,-4.759669,-5.421007,2.000000,1.000000
0.276,2026-04-09 12:18:26.233811,-2.292861,2.812461,-0.541580,5.654700,0.208577,-1.656512,0.340166,-2.764217,2.000000,1.000000
0.280,2026-04-09 12:18:26.237811,0.711689,8.326116,0.332153,5.812894,4.487753,1.848855,7.149505,-0.552136,2.000000,1.000000
0.284,2026-04-09 12:18:26.241811,5.261996,12.252876,3.462752,7.685832,6.433200,5.361284,11.335388,3.011105,2.000000,1.000000
0.288,2026-04-09 12:18:26.245811,11.253952,15.295611,7.899982,11.068520,10.331510,10.422562,13.671618,5.121601,2.000000,1.000000
0.292,2026-04-09 12:18:26.249811,16.536219,14.618108,13.789775,15.110684,13.560369,15.200475,17.152487,7.673419,2.000000,1.000000
0.296,2026-04-09 12:18:26.253811,17.177328,10.672514,18.775631,15.771950,12.978856,19.127808,19.445257,12.084585,2.000000,1.000000
0.300,2026-04-09 12:18:26.257811,14.756564,6.729005,18.815237,13.000438,11.021055,23.035919,18.715677,14.492178,2.000000,1.000000
0.304,2026-04-09 12:18:26.261811,13.789165,6.342255,14.138962,9.873009,11.054731,24.173412,16.072886,15.333298,2.000000,1.000000
0.308,2026-04-09 12:18:26.265811,14.459976,8.639493,10.304341,4.690562,11.181371,18.559500,12.861588,16.150076,2.000000,1.000000
0.312,2026-04-09 12:18:26.269811,15.558043,9.909221,9.264125,-0.209061,9.235318,11.250061,8.698914,14.204036,0.000000,0.000000
0.316,2026-04-09 12:18:26.273811,14.840398,8.029460,6.806152,-1.422200,6.753821,8.013395,4.828229,8.398814,0.000000,0.000000
0.320,2026-04-09 12:18:26.277811,9.740985,4.270091,2.198655,-3.075510,3.301870,6.910946,1.807213,2.652327,0.000000,0.000000
0.324,2026-04-09 12:18:26.281811,2.967411,1.801274,-2.250373,-6.467920,-1.677644,6.994994,-1.857512,-1.513522,0.000000,0.000000
0.328,2026-04-09 12:18:26.285811,-1.630924,-1.881939,-7.419794,-7.411522,-6.559888,6.104916,-7.396584,-4.923498,0.000000,0.000000
0.332,2026-04-09 12:18:26.289811,-4.285923,-8.102771,-12.287001,-6.059265,-11.475761,2.689324,-14.875407,-7.102695,0.000000,0.000000
0.336,2026-04-09 12:18:26.293811,-6.198515,-14.344892,-14.161962,-6.050915,-16.142117,-2.430597,-19.402746,-7.505689,0.000000,0.000000
0.340,2026-04-09 12:18:26.297811,-7.275262,-20.394953,-16.152349,-9.350200,-18.289074,-11.163968,-19.052359,-7.266818,0.000000,0.000000
0.344,2026-04-09 12:18:26.301811,-9.088615,-24.431271,-18.191559,-14.161954,-17.994686,-19.508923,-17.647242,-9.077365,0.000000,0.000000
0.348,2026-04-09 12:18:26.305811,-11.624090,-25.017517,-16.317968,-16.731552,-16.436712,-19.706402,-15.432564,-11.895024,0.000000,0.000000
0.352,2026-04-09 12:18:26.309811,-12.085752,-24.014563,-13.512189,-15.124550,-13.742773,-13.664271,-11.261404,-14.216390,0.000000,0.000000
0.356,2026-04-09 12:18:26.313811,-11.784866,-21.487289,-10.784482,-9.965220,-10.742457,-9.426961,-5.917400,-15.989920,0.000000,0.000000
0.360,2026-04-09 12:18:26.317811,-11.706622,-16.192947,-8.114563,-4.041415,-8.549014,-8.839787,-1.412288,-15.933853,0.000000,0.000000
0.364,2026-04-09 12:18:26.321811,-10.431311,-11.072490,-8.952705,0.399224,-7.622129,-7.613848,-0.793564,-14.235454,0.000000,0.000000
0.368,2026-04-09 12:18:26.325811,-8.659596,-9.386792,-10.259976,2.432925,-7.168995,-3.688940,-3.476446,-12.106875,0.000000,0.000000
0.372,2026-04-09 12:18:26.329811,-6.514887,-6.816433,-8.085622,3.346732,-5.318472,1.771489,-4.043169,-8.276833,0.000000,0.000000
0.376,2026-04-09 12:18:26.333811,-2.500048,1.403818,-4.012119,5.073195,-1.493925,6.260175,-2.305182,-2.469416,0.000000,0.000000
0.380,2026-04-09 12:18:26.337811,2.194937,10.353938,0.595885,7.162586,3.820907,8.428391,-0.699556,3.655388,0.000000,0.000000
0.384,2026-04-09 12:18:26.341811,5.512327,14.083504,5.578307,9.824659,9.032049,8.145818,3.957751,10.272438,0.000000,0.000000
0.388,2026-04-09 12:18:26.345811,10.998075,13.489049,10.243612,13.378326,13.080516,6.705738,10.185330,15.017428,0.000000,0.000000
0.392,2026-04-09 12:18:26.349811,18.383495,12.244634,13.800221,18.112528,16.202829,6.240290,14.369932,15.519168,0.000000,0.000000
0.396,2026-04-09 12:18:26.353811,22.085352,12.429212,16.429733,20.908941,17.477362,6.487390,17.367889,14.872953,0.000000,0.000000
0.400,2026-04-09 12:18:26.357811,23.193981,12.145846,18.292627,18.071899,16.535320,7.532408,19.213068,12.961014,0.000000,0.000000
0.404,2026-04-09 12:18:26.361811,22.219269,8.350865,18.396719,12.681417,14.962972,8.500334,19.457561,8.036420,0.000000,0.000000
0.408,2026-04-09 12:18:26.365811,17.271393,2.423513,18.008926,8.065079,11.984736,7.885646,17.433773,4.139416,4.000000,0.000000
0.412,2026-04-09 12:18:26.369811,11.417270,-0.784085,17.907970,4.703249,5.832106,6.490557,14.145943,3.485057,4.000000,0.000000
0.416,2026-04-09 12:18:26.373811,6.004630,0.867570,16.063564,2.741025,0.531813,5.341642,10.597471,4.176890,4.000000,0.000000
0.420,2026-04-09 12:18:26.377811,0.520618,3.144774,12.377416,-0.358817,-1.472210,5.374652,4.523462,4.768798,4.000000,0.000000
0.424,2026-04-09 12:18:26.381811,-5.780027,1.584978,6.332888,-5.578929,-3.922186,6.231786,-2.324878,4.683809,4.000000,0.000000
0.428,2026-04-09 12:18:26.385811,-12.895589,-3.822763,-0.152165,-8.386068,-7.985723,3.907218,-5.588029,2.506435,4.000000,0.000000
0.432,2026-04-09 12:18:26.389811,-16.885275,-10.940079,-4.434711,-8.387088,-10.188917,-5.013662,-6.838458,-2.821582,4.000000,0.000000
0.436,2026-04-09 12:18:26.393811,-15.922117,-14.881033,-7.440585,-8.342628,-10.841284,-15.368004,-8.776937,-8.141353,4.000000,0.000000
0.440,2026-04-09 12:18:26.397811,-13.858195,-14.878813,-9.116353,-8.761129,-13.535589,-20.041464,-10.068441,-10.769331,4.000000,0.000000
0.444,2026-04-09 12:18:26.401811,-14.111590,-13.122266,-11.496979,-11.368726,-16.797537,-20.632645,-9.738287,-11.922475,4.000000,0.000000
0.448,2026-04-09 12:18:26.405811,-14.310713,-8.338921,-16.414593,-16.306271,-19.526913,-20.709274,-9.624211,-12.218541,4.000000,0.000000
0.452,2026-04-09 12:18:26.409811,-12.156807,-3.357126,-21.313894,-19.385284,-22.729416,-20.043432,-11.420296,-12.685666,4.000000,0.000000
0.456,2026-04-09 12:18:26.413811,-8.007260,-2.468064,-22.041260,-17.328323,-22.623178,-18.008419,-14.261436,-14.242297,4.000000,0.000000
0.460,2026-04-09 12:18:26.417811,-3.706083,-4.588329,-16.589645,-12.024399,-17.098948,-13.730795,-16.053646,-15.799362,4.000000,0.000000
0.464,2026-04-09 12:18:26.421811,-2.531618,-5.796576,-7.471971,-6.145686,-9.890318,-7.122714,-15.248709,-15.224585,4.000000,0.000000
0.468,2026-04-09 12:18:26.425811,-4.336549,-3.595267,-0.890907,-0.635757,-3.299655,-2.057071,-10.409596,-11.853984,4.000000,0.000000
0.472,2026-04-09 12:18:26.429811,-5.131929,1.040986,-0.122812,3.733009,0.187870,-0.943973,-2.625171,-8.088743,4.000000,0.000000
